解析函式,欄位說明,模型用欄位名稱,定義使用欄位
parseDiseaseHistory,安眠鎮定劑,Hypnotic,Medicine : 使用藥物-安眠鎮定劑V3
parseDiseaseHistory,荷爾蒙補充,Hormone_sup,Medicine : 使用藥物-荷爾蒙補充V3
parseDiseaseHistory,骨質疏鬆藥,osteoporosis_drug,Medicine : 使用藥物-骨質疏鬆藥V3
parseDiseaseHistory,鐵劑,iron_sup,Medicine : 使用藥物-鐵劑V3
parseDiseaseHistory,類固醇,Steroid,Medicine : 使用藥物-類固醇V3
parseDiseaseHistory,攝護腺藥物,Prostate_drug,Medicine : 使用藥物-攝護腺藥物V3
parseFamilyHistory,高血壓家族史,fami_HT,Family History : 家族病史-高血壓V3
parseFamilyHistory,冠狀動脈疾病(心絞痛或心肌梗塞)家族史,fami_CAD,Family History : 家族病史-冠狀動脈疾病(心絞痛或心肌梗塞)V3
parseFamilyHistory,腦中風家族史,fami_Stroke,Family History : 家族病史-腦中風V3
parseFamilyHistory,糖尿病家族史,fami_DM,Family History : 家族病史-糖尿病V3
parseFamilyHistory,高血脂症家族史,fami_Hyperlipidemia,Family History : 家族病史-高血脂症V3
parseFamilyHistory,高尿酸症或痛風家族史,fami_Gout,Family History : 家族病史-高尿酸症或痛風V3
parseFamilyHistory,逆流性食道炎家族史,fami_GERD,Family History : 家族病史-逆流性食道炎V3
parseFamilyHistory,消化性潰瘍(胃潰瘍或十二指腸潰瘍)家族史,fami_PUD,Family History : 家族病史-消化性潰瘍(胃潰瘍或十二指腸潰瘍)V3
parseFamilyHistory,B型肝炎帶原家族史,fami_hepatitis_B,Family History : 家族病史-B型肝炎帶原V3
parseFamilyHistory,C型肝炎帶原家族史,fami_hepatitis_C,Family History : 家族病史-C型肝炎帶原V3
parseFamilyHistory,肝硬化家族史,fami_Liver_cirrhosis,Family History : 家族病史-肝硬化V3
parseFamilyHistory,慢性胰臟炎家族史,fami_pancreatitis,Family History : 家族病史-慢性胰臟炎V3
parseFamilyHistory,膽囊或膽管結石家族史,fami_gallstones,Family History : 家族病史-膽囊或膽管結石V3
parseFamilyHistory,肺氣腫家族史,fami_Emphysema,Family History : 家族病史-肺氣腫V3
parseFamilyHistory,氣喘家族史,fami_asthma,Family History : 家族病史-氣喘V3
parseFamilyHistory,紅斑性狼瘡家族史,fami_SLE,Family History : 家族病史-紅斑性狼瘡V3
parseFamilyHistory,風濕性關節炎家族史,fami_RA,Family History : 家族病史-風濕性關節炎V3
parseFamilyHistory,癌症家族史,fami_cancer,"Family History : 家族病史-鼻咽癌V3、
 Family History : 家族病史-口腔癌/下咽癌V3、
 Family History : 家族病史-肺癌V3、
 Family History : 家族病史-乳癌V3、
 Family History : 家族病史-食道癌V3、
 Family History : 家族病史-胃癌V3、
 Family History : 家族病史-肝癌V3、
 Family History : 家族病史-胰臟癌V3、
 Family History : 家族病史-膽管癌V3、
 Family History : 家族病史-大腸直腸癌V3、
 Family History : 家族病史-卵巢癌V3、
 Family History : 家族病史-子宮頸癌V3、
 Family History : 家族病史-攝護腺癌V3、
 Family History : 家族病史-白血病V3、
 Family History : 家族病史-淋巴癌V3、
 Family History : 家族病史-其他惡性腫瘤V3"
parseBMI,身體質量指數,BMI,"身體理學檢查-Body Height、
 身體理學檢查-Body Weight、
 身體理學檢查-BMI"
parseGirth,腹圍,Abd_Girth,身體理學檢查-Abd_Girth
parseBP,收縮壓,SBP,"身體理學檢查-Systolic Pressure(R) 、
 身體理學檢查-Systolic Pressure(L)"
parseBP,舒張壓,DBP,"身體理學檢查-Diastolic Pressure(R)、
 身體理學檢查-Diastolic Pressure(L)"
parsePass,脂肪重,MBF,身體理學檢查-MBF
parsePass,體脂肪百分比,PBF,身體理學檢查-PBF
parsePass,基礎代謝率,BMR,身體理學檢查-BMR
parsePass,阻抗係數,IMP,身體理學檢查-IMP
parsePass,每日消耗總能量,calory,身體理學檢查-calory
parsePass,內臟脂肪程度,whr_level,身體理學檢查-whr_level
parsePass,內臟脂肪面積,vfa,身體理學檢查-vfa
parsePass,內臟脂肪重量,mvf_quantity,身體理學檢查-mvf_quantity
parsePass,皮下脂肪重量,msf_quantity,身體理學檢查-msf_quantity
parsePass,細胞內水,ICF,身體理學檢查-ICF
parsePass,細胞外水,ECF,身體理學檢查-ECF
parsePass,水腫指數,edema,身體理學檢查-edema
parsePass,肥胖度,Fatness,身體理學檢查-Fatness
parseAlcohol,飲酒狀態,alcohol_gp,"Hobit : 生活習慣-飲酒頻率V3、
 Hobit : 生活習慣-每週飲酒天數酒精濃度 ＜10%、
 Hobit : 生活習慣-每週飲酒天數酒精濃度 11~20%、
 Hobit : 生活習慣-每週飲酒天數酒精濃度 21~30%、
 Hobit : 生活習慣-每週飲酒天數酒精濃度 31~40%、
 Hobit : 生活習慣-每週飲酒天數酒精濃度 41~50%、
 Hobit : 生活習慣-每週飲酒天數酒精濃度 51~60%、
 Hobit : 生活習慣-每週飲酒天數酒精濃度 ＞60%"
parseCigarette,吸菸狀態,smoke_gp,"Hobit : 生活習慣-現在平均每日抽菸量、
 Hobit : 生活習慣-抽菸菸齡、
 Hobit : 生活習慣-若您已戒菸了，已戒幾年、
 Hobit : 生活習慣-戒菸前之平均每日抽菸量"
parseBetel,檳榔嚼食,betel_gp,Hobit : 生活習慣-每日嚼食檳榔量
parseDrink,咖啡習慣,coffee_gp,Hobit : 生活習慣-平均每日喝咖啡量
parseDrink,喝茶習慣,tea_gp,Hobit : 生活習慣-平均每日喝茶量
parseFood,飲食狀態,food_gp,Hobit : 生活習慣-飲食種類
parseExcercise,運動狀態,excercise_week,"Hobit : 生活習慣-費力活動、
 Hobit : 生活習慣-費力活動花多少時間、
 Hobit : 生活習慣-中等費力活動、
 Hobit : 生活習慣-中等費力活動花多少時間"
parsePSQI,匹茲堡睡眠量表分數,PSQI,"Hobit : 生活習慣-過去一個月來，您每天睡眠的時間大約幾小時、
 Hobit : 生活習慣-過去一個月來，您在上床後通常多久才能入睡、
 Hobit : 生活習慣-過去一個月來，您實際每晚睡著時間佔躺床總時間的比例(即睡眠效率)約為多少、
 Hobit : 生活習慣-過去一個月來，您的睡眠每星期有幾次出現下列困擾情形、
 Hobit : 生活習慣-過去一個月來，整體而言，您覺得自己的睡眠品質如何、
 Hobit : 生活習慣-過去一個月來，您有幾次需要使用藥物幫忙睡眠、
 Hobit : 生活習慣-過去一個月來，您每星期約幾次曾在用餐、開車或社交場合瞌睡而無法保持清醒，或感到無心完成該做的事"
parseBSRS5,簡式健康量表,BSRS5,"Hobit : 生活習慣-睡眠困難，譬如難以入睡、易醒或早醒、
 Hobit : 生活習慣-感覺緊張不安、
 Hobit : 生活習慣-覺得容易苦惱或動怒、
 Hobit : 生活習慣-感覺憂鬱、心情低落、
 Hobit : 生活習慣-覺得比不上別人"
parseZeroDiscard,Albumin,Albumin,血液及實驗室常規檢查-Albumin-ALB
parseZeroDiscard,ALP,ALP,血液及實驗室常規檢查-ALP
parseZeroDiscard,ALT,ALT,血液及實驗室常規檢查-ALT
parseZeroDiscard,AST,AST,血液及實驗室常規檢查-AST
parseZeroDiscard,Creatinine,Creatinine,血液及實驗室常規檢查-CRE
parseZeroDiscard,r_GT,r_GT,血液及實驗室常規檢查-r-GT
parseZeroDiscard,Glucose_PC,Glucose_PC,血液及實驗室常規檢查-GLU PC
parseZeroDiscard,Glucose_AC,Glucose_AC,血液及實驗室常規檢查-GLU AC
parseGlucoseU,Glucose_U,Glucose_U,血液及實驗室常規檢查-Glucose (U)
parseZeroDiscard,Hemoglobin,Hemoglobin,血液及實驗室常規檢查-HB
parseZeroDiscard,HbA1c,HbA1c,血液及實驗室常規檢查-HbA1c
parseZeroDiscard,HCT,HCT,血液及實驗室常規檢查-HCT
parseZeroDiscard,HDL,HDL,血液及實驗室常規檢查-HDL-C
parseHsCRP,hsCRP,hsCRP,血液及實驗室常規檢查-hsCRP、血液及實驗室常規檢查-hs-CRP 20160618停用
parseZeroDiscard,LDL,LDL,血液及實驗室常規檢查-LDL-C
parseZeroDiscard,Platelet,Platelet,血液及實驗室常規檢查-Platelet
parseZeroDiscard,T_BIL,T_BIL,血液及實驗室常規檢查-T-BIL
parseZeroDiscard,Total_Cholesterol,Total_Cholesterol,血液及實驗室常規檢查-T-CHO
parseZeroDiscard,Triglycerides,Triglycerides,血液及實驗室常規檢查-TG
parseZeroDiscard,TP,TP,血液及實驗室常規檢查-TP
parseZeroDiscard,Uric_acid,Uric_acid,血液及實驗室常規檢查-UA
parseZeroDiscard,BUN,BUN,血液及實驗室常規檢查-BUN
parseZeroDiscard,WBC,WBC,血液及實驗室常規檢查-WBC
parseZeroDiscard,RBC,RBC,血液及實驗室常規檢查-RBC
parseAgatston,冠狀動脈鈣化指數,Agatston score,"PACS_相關影像檢查-Chest CT、
 PACS_相關影像檢查-MDCT、
 PACS_相關影像檢查-低輻射64切電腦斷層冠狀動脈血管攝影、
 PACS_相關影像檢查-Low dose Coronary CT Angiography、
 PACS_相關影像檢查-calcium score、
 PACS_相關影像檢查-心臟鈣化指數"
